dt,cos,sin,angle,angular_vel
101.97,-0.8580534019131847,-0.513560473036244,3.680921792984009,1.455588936805725
101.98,-0.8511739212123675,-0.5248837546047338,3.694171190261841,1.2169575691223145
101.99000000000001,-0.8454366089082281,-0.5340757814371998,3.7050068378448486,0.9736261963844299
102.0,-0.8409309397178941,-0.5411424531721565,3.7133877277374268,0.7265728116035461
102.01,-0.8377264970208657,-0.5460900257184245,3.719282388687134,0.47677305340766907
102.02,-0.8358728878721708,-0.5489230504544671,3.722667932510376,0.22519971430301666
102.03,-0.8353982905261242,-0.5496450638239456,3.72353196144104,-0.027133570984005928
102.04,-0.8363083022737999,-0.5482594491186763,3.721874237060547,-0.27912744879722595
102.05,-0.8385885329754014,-0.5447653369682804,3.7177019119262695,-0.5299890637397766
102.06,-0.842204207245437,-0.5391586717266865,3.7110304832458496,-0.7787496447563171
102.07000000000001,-0.8470978918580002,-0.5314368839380005,3.7018885612487793,-1.0244395732879639
102.08,-0.8531932516613955,-0.5215949341389875,3.690311908721924,-1.266087293624878
102.09,-0.8603956613600918,-0.5096266338337608,3.6763434410095215,-1.5027191638946533
102.10000000000001,-0.868588955886473,-0.49553327407152653,3.660041332244873,-1.7333601713180542
102.11,-0.8776406942381737,-0.4793191127183815,3.6414713859558105,-1.9570380449295044
102.12,-0.8874030954361836,-0.46099430171128986,3.6207079887390137,-2.1727805137634277
102.13,-0.8977139223556597,-0.44057883926581914,3.5978360176086426,-2.3796255588531494
102.14,-0.9083995206911494,-0.41810322984651777,3.572948932647705,-2.576622724533081
102.15,-0.9192772023167991,-0.3936107535378051,3.5461487770080566,-2.7628333568573
102.16,-0.9301558486357523,-0.36716494556085216,3.517551898956299,-2.9373490810394287
102.17,-0.9408439396619721,-0.3388402000963573,3.487276554107666,-3.0992894172668457
102.18,-0.951148428198097,-0.30873397535141717,3.4554543495178223,-3.247817277908325
102.19,-0.9608801639312806,-0.276964457220408,3.4222261905670166,-3.3821394443511963
102.2,-0.9698596935941521,-0.2436640612430512,3.3877346515655518,-3.50152325630188
102.21000000000001,-0.9779175260141271,-0.20899117759945995,3.3521358966827393,-3.605302095413208
102.22,-0.9849010845522552,-0.17311803386069133,3.315587282180786,-3.6928822994232178
102.23,-0.9906763258389527,-0.13623662291114422,3.278254270553589,-3.7637572288513184
102.24000000000001,-0.9951316379824212,-0.09855467054596356,3.240307569503784,-3.817509889602661
102.25,-0.9981809561120701,-0.06028912717226509,3.201918363571167,-3.8538224697113037
102.26,-0.9997652054439872,-0.021668732855017924,3.1632630825042725,-3.872478723526001
102.27,-0.9998542505905841,0.017072714369469402,3.124519109725952,-3.873366355895996
102.28,-0.9984475508853363,0.05569998322328034,3.0858638286590576,-3.8564858436584473
102.29,-0.9955741666585192,0.09397913961191152,3.0474746227264404,-3.8219401836395264
102.3,-0.9912921205817989,0.13168117432814833,3.0095279216766357,-3.769942045211792
102.31,-0.9856863185446606,0.16858968365197785,2.972193956375122,-3.7008068561553955
102.32000000000001,-0.9788675086666295,0.20449547788835304,2.9356443881988525,-3.614942789077759
102.33,-0.970968682661077,0.23920664140322828,2.9000439643859863,-3.512857437133789
102.34,-0.9621416863426877,0.27254976683469956,2.8655505180358887,-3.3951399326324463
102.35000000000001,-0.9525545405220646,0.3043679472789449,2.83231782913208,-3.2624542713165283
102.36,-0.9423863391243207,0.3345265128982467,2.800489902496338,-3.1155343055725098
102.37,-0.9318246587647683,0.3629088112982698,2.770205020904541,-2.9551682472229004
102.38,-0.9210618265080979,0.38941637324278827,2.7415947914123535,-2.782195806503296
102.39,-0.9102891892064999,0.4139729363301095,2.714778423309326,-2.5974984169006348
102.4,-0.8996957952014889,0.43651744077042387,2.689868450164795,-2.4019882678985596
